17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:33:31.023 -> Hello, node 2, message 49, tx time 403 ms, battery 341, RSSI -105 dBm, SNR 9 dB, good/bad packets: 109/3
17:33:33.251 -> Hello, node 3, message 49, tx time 403 ms, battery 336, RSSI -115 dBm, SNR 2 dB, good/bad packets: 110/3
17:33:37.126 -> Hello, node 2, message 50, tx time 404 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 111/3
17:33:39.345 -> Hello, node 3, message 50, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 112/3
17:33:43.189 -> Hello, node 2, message 51, tx time 404 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 113/3
17:33:45.411 -> Hello, node 3, message 51, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 114/3
17:33:49.270 -> Hello, node 2, message 52, tx time 404 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 115/3
17:33:51.481 -> Hello, node 3, message 52, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 116/3
17:33:55.327 -> Hello, node 2, message 53, tx time 403 ms, battery 341, RSSI -127 dBm, SNR -6 dB, good/bad packets: 117/3
17:33:57.573 -> Hello, node 3, message 53, tx time 403 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 118/3
17:34:01.427 -> Hello, node 2, message 54, tx time 403 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 119/3
17:34:03.656 -> Hello, node 3, message 54, tx time 403 ms, battery 336, RSSI -114 dBm, SNR 2 dB, good/bad packets: 120/3
17:34:07.500 -> Hello, node 2, message 55, tx time 403 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 121/3
17:34:09.729 -> Hello, node 3, message 55, tx time 403 ms, battery 336, RSSI -115 dBm, SNR 2 dB, good/bad packets: 122/3
17:34:13.556 -> Hello, node 2, message 56, tx time 404 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 123/3
17:34:15.774 -> Hello, node 3, message 56, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 3 dB, good/bad packets: 124/3
17:34:19.652 -> Hello, node 2, message 57, tx time 404 ms, battery 341, RSSI -106 dBm, SNR 9 dB, good/bad packets: 125/3
17:34:21.870 -> Hello, node 3, message 57, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 0 dB, good/bad packets: 126/3
17:34:25.738 -> Hello, node 2, message 58, tx time 404 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 127/3
