17:44:57.833 -> Hello, node 2, message 162, tx time 404 ms, battery 341, RSSI -123 dBm, SNR -3 dB, good/bad packets: 332/3
17:45:00.020 -> Hello, node 3, message 162, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 333/3
17:45:03.915 -> Hello, node 2, message 163, tx time 402 ms, battery 341, RSSI -117 dBm, SNR 0 dB, good/bad packets: 334/3
17:45:06.085 -> Hello, node 3, message 163, tx time 402 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 335/3
17:45:09.988 -> Hello, node 2, message 164, tx time 402 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 336/3
17:45:16.071 -> Hello, node 2, message 165, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 337/4
17:45:18.252 -> Hello, node 3, message 165, tx time 401 ms, battery 336, RSSI -119 dBm, SNR -1 dB, good/bad packets: 338/4
17:45:22.121 -> Hello, node 2, message 166, tx time 401 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 339/4
17:45:24.300 -> Hello, node 3, message 166, tx time 401 ms, battery 336, RSSI -127 dBm, SNR -6 dB, good/bad packets: 340/4
17:45:28.217 -> Hello, node 2, message 167, tx time 403 ms, battery 341, RSSI -113 dBm, SNR 2 dB, good/bad packets: 341/4
17:45:34.304 -> Hello, node 2, message 168, tx time 403 ms, battery 341, RSSI -115 dBm, SNR 1 dB, good/bad packets: 342/5
17:45:36.491 -> Hello, node 3, message 168, tx time 401 ms, battery 336, RSSI -123 dBm, SNR -3 dB, good/bad packets: 343/5
17:45:40.375 -> Hello, node 2, message 169, tx time 404 ms, battery 341, RSSI -115 dBm, SNR 1 dB, good/bad packets: 344/5
17:45:42.558 -> Hello, node 3, message 169, tx time 404 ms, battery 336, RSSI -122 dBm, SNR -2 dB, good/bad packets: 345/5
17:45:46.452 -> Hello, node 2, message 170, tx time 402 ms, battery 341, RSSI -113 dBm, SNR 3 dB, good/bad packets: 346/5
17:45:48.645 -> Hello, node 3, message 170, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 347/5
17:45:52.546 -> Hello, node 2, message 171, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 348/5
17:45:54.711 -> Hello, node 3, message 171, tx time 401 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 349/5
17:45:58.605 -> Hello, node 2, message 172, tx time 403 ms, battery 341, RSSI -107 dBm, SNR 7 dB, good/bad packets: 350/5
17:46:04.673 -> Hello, node 2, message 173, tx time 403 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 351/5
17:46:06.853 -> Hello, node 3, message 173, tx time 401 ms, battery 336, RSSI -114 dBm, SNR 3 dB, good/bad packets: 352/5
17:46:10.777 -> Hello, node 2, message 174, tx time 403 ms, battery 341, RSSI -103 dBm, SNR 9 dB, good/bad packets: 353/5
17:46:12.948 -> Hello, node 3, message 174, tx time 401 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 354/5
17:46:16.824 -> Hello, node 2, message 175, tx time 404 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 355/5
17:46:18.925 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 356/5
17:46:19.536 -> Hello, node 3, message 175, tx time 404 ms, battery 322, RSSI -116 dBm, SNR 0 dB, good/bad packets: 357/5
17:46:24.994 -> Hello, node 2, message 2, tx time 404 ms, battery 341, RSSI -107 dBm, SNR 7 dB, good/bad packets: 358/5
17:46:25.912 -> Hello, node 3, message 176, tx time 903 ms, battery 322, RSSI -109 dBm, SNR 6 dB, good/bad packets: 359/5
17:46:31.079 -> Hello, node 2, message 3, tx time 403 ms, battery 341, RSSI -98 dBm, SNR 10 dB, good/bad packets: 360/5
17:46:31.761 -> Hello, node 3, message 177, tx time 1206 ms, battery 323, RSSI -114 dBm, SNR 3 dB, good/bad packets: 361/5
17:46:37.174 -> Hello, node 2, message 4, tx time 403 ms, battery 341, RSSI -96 dBm, SNR 9 dB, good/bad packets: 362/5
17:46:38.070 -> Hello, node 3, message 178, tx time 1003 ms, battery 323, RSSI -115 dBm, SNR 2 dB, good/bad packets: 363/5
17:46:43.243 -> Hello, node 2, message 5, tx time 403 ms, battery 341, RSSI -99 dBm, SNR 9 dB, good/bad packets: 364/5
17:46:44.222 -> Hello, node 3, message 179, tx time 1208 ms, battery 323, RSSI -115 dBm, SNR 0 dB, good/bad packets: 365/5
17:46:49.311 -> Hello, node 2, message 6, tx time 404 ms, battery 341, RSSI -102 dBm, SNR 9 dB, good/bad packets: 366/5
17:46:50.098 -> Hello, node 3, message 180, tx time 1306 ms, battery 322, RSSI -116 dBm, SNR 1 dB, good/bad packets: 367/5
17:46:55.396 -> Hello, node 2, message 7, tx time 404 ms, battery 341, RSSI -101 dBm, SNR 9 dB, good/bad packets: 368/5
17:46:56.411 -> Hello, node 3, message 181, tx time 1106 ms, battery 323, RSSI -127 dBm, SNR -7 dB, good/bad packets: 369/5
17:47:01.449 -> Hello, node 2, message 8, tx time 404 ms, battery 341, RSSI -111 dBm, SNR 6 dB, good/bad packets: 370/5
17:47:04.456 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 371/6
17:47:07.647 -> Hello, node 3, message 183, tx time 1307 ms, battery 336, RSSI -115 dBm, SNR 1 dB, good/bad packets: 372/6
17:47:10.548 -> Hello, node 2, message 2, tx time 404 ms, battery 341, RSSI -92 dBm, SNR 9 dB, good/bad packets: 373/6
17:47:13.716 -> Hello, node 3, message 184, tx time 401 ms, battery 336, RSSI -97 dBm, SNR 9 dB, good/bad packets: 374/6
17:47:16.608 -> Hello, node 2, message 3, tx time 403 ms, battery 341, RSSI -85 dBm, SNR 9 dB, good/bad packets: 375/6
17:47:19.799 -> Hello, node 3, message 185, tx time 403 ms, battery 336, RSSI -93 dBm, SNR 10 dB, good/bad packets: 376/6
17:47:22.694 -> Hello, node 2, message 4, tx time 403 ms, battery 341, RSSI -81 dBm, SNR 10 dB, good/bad packets: 377/6
17:47:25.851 -> Hello, node 3, message 186, tx time 401 ms, battery 336, RSSI -101 dBm, SNR 9 dB, good/bad packets: 378/6
17:47:27.449 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -87 dBm, SNR 9 dB, good/bad packets: 379/6
17:47:31.957 -> Hello, node 3, message 187, tx time 404 ms, battery 336, RSSI -99 dBm, SNR 9 dB, good/bad packets: 380/6
