# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 270, 1600167188, 345, 386, -644, 2042, 0x00
1, 271, 1600167193, 344, 385, -649, 2059, 0x00
1, 272, 1600167198, 345, 386, -656, 2077, 0x00
1, 273, 1600167203, 345, 385, -661, 2091, 0x00
1, 274, 1600167208, 344, 386, -669, 2108, 0x00
1, 275, 1600167213, 344, 386, -676, 2123, 0x00
1, 276, 1600167218, 344, 386, -683, 2139, 0x00
1, 277, 1600167223, 344, 386, -687, 2153, 0x00
1, 278, 1600167228, 344, 386, -694, 2168, 0x00
1, 279, 1600167233, 344, 386, -701, 2181, 0x00
1, 280, 1600167238, 344, 386, -708, 2191, 0x00
1, 281, 1600167243, 344, 386, -715, 2207, 0x00
1, 282, 1600167248, 344, 386, -720, 2228, 0x00
1, 283, 1600167253, 344, 386, -731, 2238, 0x00
1, 284, 1600167258, 344, 386, -732, 2250, 0x00
1, 285, 1600167263, 344, 386, -741, 2264, 0x00
1, 286, 1600167268, 344, 386, -745, 2285, 0x00
1, 287, 1600167273, 344, 386, -752, 2294, 0x00
1, 288, 1600167278, 344, 386, -759, 2312, 0x00
1, 289, 1600167283, 344, 386, -765, 2324, 0x00
1, 290, 1600167289, 344, 386, -770, 2338, 0x00
1, 291, 1600167294, 344, 386, -776, 2352, 0x00
1, 292, 1600167299, 344, 386, -782, 2364, 0x00
1, 293, 1600167304, 344, 386, -786, 2380, 0x00
1, 294, 1600167309, 344, 386, -792, 2397, 0x00
1, 295, 1600167314, 344, 386, -799, 2401, 0x00
1, 296, 1600167319, 344, 386, -803, 2421, 0x00
1, 297, 1600167324, 344, 386, -807, 2436, 0x00
1, 298, 1600167329, 344, 386, -816, 2449, 0x00
1, 299, 1600167334, 344, 385, -820, 2461, 0x00
1, 300, 1600167339, 344, 386, -824, 2476, 0x00
1, 301, 1600167344, 344, 386, -831, 2488, 0x00
1, 302, 1600167349, 344, 386, -837, 2500, 0x00
1, 303, 1600167354, 344, 385, -839, 2517, 0x00
1, 304, 1600167359, 344, 386, -845, 2525, 0x00
1, 305, 1600167364, 344, 386, -851, 2543, 0x00
1, 306, 1600167369, 343, 386, -854, 2558, 0x00
1, 307, 1600167374, 343, 386, -860, 2572, 0x00
1, 308, 1600167379, 344, 385, -866, 2582, 0x00
1, 309, 1600167384, 344, 386, -872, 2600, 0x00
1, 310, 1600167390, 344, 386, -876, 2614, 0x00
1, 311, 1600167395, 343, 386, -880, 2626, 0x00
1, 312, 1600167400, 344, 386, -885, 2641, 0x00
1, 313, 1600167405, 343, 386, -889, 2651, 0x00
1, 314, 1600167410, 343, 385, -893, 2665, 0x00
1, 315, 1600167415, 343, 386, -897, 2684, 0x00
1, 316, 1600167420, 343, 385, -901, 2693, 0x00
1, 317, 1600167425, 343, 386, -907, 2705, 0x00
1, 318, 1600167430, 343, 386, -913, 2717, 0x00
1, 319, 1600167435, 343, 385, -920, 2736, 0x00
1, 320, 1600167440, 343, 386, -920, 2748, 0x00
1, 321, 1600167445, 343, 386, -926, 2763, 0x00
1, 322, 1600167450, 343, 385, -928, 2776, 0x00
1, 323, 1600167455, 343, 386, -935, 2785, 0x00
1, 324, 1600167460, 343, 385, -938, 2798, 0x00
1, 325, 1600167465, 343, 386, -939, 2813, 0x00
1, 326, 1600167470, 343, 386, -947, 2825, 0x00
1, 327, 1600167475, 343, 386, -950, 2840, 0x00
1, 328, 1600167480, 343, 385, -955, 2852, 0x00
1, 329, 1600167486, 343, 386, -958, 2865, 0x00
1, 330, 1600167491, 343, 385, -964, 2877, 0x00
1, 331, 1600167496, 343, 386, -968, 2890, 0x00
1, 332, 1600167501, 343, 386, -972, 2906, 0x00
1, 333, 1600167506, 343, 386, -974, 2917, 0x00
1, 334, 1600167511, 343, 386, -978, 2932, 0x00
1, 335, 1600167516, 343, 385, -982, 2943, 0x00
1, 336, 1600167521, 343, 385, -985, 2958, 0x00
1, 337, 1600167526, 342, 385, -989, 2970, 0x00
1, 338, 1600167531, 343, 385, -995, 2985, 0x00
1, 339, 1600167536, 342, 386, -996, 2997, 0x00
1, 340, 1600167541, 342, 386, -1000, 3013, 0x00
1, 341, 1600167546, 342, 386, -1005, 3027, 0x00
1, 342, 1600167551, 342, 386, -1007, 3036, 0x00
1, 343, 1600167556, 342, 385, -1012, 3049, 0x00
1, 344, 1600167561, 343, 385, -1013, 3060, 0x00
1, 345, 1600167566, 342, 385, -1017, 3073, 0x00
1, 346, 1600167571, 342, 385, -1024, 3086, 0x00
1, 347, 1600167576, 342, 385, -1027, 3104, 0x00
1, 348, 1600167582, 342, 386, -1030, 3115, 0x00
1, 349, 1600167587, 342, 386, -1030, 3124, 0x00
1, 350, 1600167592, 342, 386, -1036, 3138, 0x00
1, 351, 1600167597, 342, 385, -1038, 3150, 0x00
1, 352, 1600167602, 342, 385, -1040, 3157, 0x00
1, 353, 1600167607, 342, 386, -1045, 3165, 0x00
1, 354, 1600167612, 342, 385, -1048, 3178, 0x00
1, 355, 1600167617, 342, 386, -1053, 3189, 0x00
1, 356, 1600167622, 342, 386, -1054, 3202, 0x00
1, 357, 1600167627, 342, 385, -1057, 3209, 0x00
1, 358, 1600167632, 342, 385, -1060, 3221, 0x00
1, 359, 1600167637, 342, 385, -1065, 3232, 0x00
1, 360, 1600167642, 341, 385, -1065, 3240, 0x00
1, 361, 1600167647, 341, 386, -1069, 3250, 0x00
1, 362, 1600167652, 342, 386, -1071, 3264, 0x00
1, 363, 1600167657, 342, 386, -1075, 3275, 0x00
1, 364, 1600167662, 341, 386, -1078, 3287, 0x00
1, 365, 1600167667, 341, 386, -1081, 3293, 0x00
1, 366, 1600167672, 341, 386, -1082, 3309, 0x00
1, 367, 1600167678, 341, 385, -1087, 3320, 0x00
1, 368, 1600167683, 341, 386, -1088, 3331, 0x00
1, 369, 1600167688, 341, 386, -1092, 3339, 0x00
1, 370, 1600167693, 341, 386, -1093, 3350, 0x00
1, 372, 1600167703, 341, 386, -1100, 3372, 0x00
1, 373, 1600167708, 341, 385, -1105, 3380, 0x00
1, 374, 1600167713, 341, 385, -1106, 3395, 0x00
1, 375, 1600167718, 341, 385, -1105, 3402, 0x00
1, 376, 1600167723, 341, 386, -1109, 3412, 0x00
1, 377, 1600167728, 341, 386, -1113, 3418, 0x00
1, 378, 1600167733, 341, 385, -1118, 3433, 0x00
1, 379, 1600167738, 341, 385, -1120, 3439, 0x00
1, 380, 1600167743, 341, 385, -1119, 3450, 0x00
1, 381, 1600167748, 341, 385, -1123, 3466, 0x00
1, 382, 1600167753, 340, 386, -1126, 3470, 0x00
1, 383, 1600167758, 340, 386, -1129, 3484, 0x00
1, 384, 1600167763, 340, 386, -1131, 3495, 0x00
1, 385, 1600167768, 341, 385, -1133, 3505, 0x00
1, 386, 1600167774, 340, 385, -1136, 3516, 0x00
1, 387, 1600167779, 340, 385, -1137, 3523, 0x00
1, 388, 1600167784, 340, 385, -1141, 3534, 0x00
1, 389, 1600167789, 340, 385, -1141, 3543, 0x00
1, 390, 1600167794, 340, 386, -1144, 3554, 0x00
1, 391, 1600167799, 340, 385, -1147, 3565, 0x00
1, 392, 1600167804, 340, 386, -1150, 3577, 0x00
1, 393, 1600167809, 340, 385, -1151, 3582, 0x00
1, 394, 1600167814, 340, 385, -1152, 3593, 0x00
1, 395, 1600167819, 340, 386, -1157, 3600, 0x00
1, 396, 1600167824, 340, 385, -1158, 3612, 0x00
1, 397, 1600167829, 340, 386, -1160, 3616, 0x00
1, 398, 1600167834, 340, 386, -1162, 3625, 0x00
