14:22:19.553 -> boot
14:22:19.553 -> Start receiveer
14:22:19.624 -> ATTACH
14:22:19.624 -> 1
14:22:19.624 -> Listening on frequency: 915.00
14:42:25.246 -> request: Hello, node 2, message 3334, msg time 1599374767, tx time 404 ms, battery 358 v, temp 1239 C, humidity 9528 %, status 0x00, RSSI -105 dBm, SNR 7 dB, good/bad packets: 67/46
14:42:46.231 -> request: Hello, node 2, message 3335, msg time 1599374788, tx time 404 ms, battery 358 v, temp 1238 C, humidity 9530 %, status 0x00, RSSI -106 dBm, SNR 5 dB, good/bad packets: 68/47
14:42:56.349 -> request: Hello, node 1, message 11113, msg time 1598974082, tx time 403 ms, battery 356 v, temp 1261 C, humidity 8820 %, status 0x00, RSSI -116 dBm, SNR 0 dB, good/bad packets: 69/47
14:43:07.249 -> request: Hello, node 2, message 3336, msg time 1599374809, tx time 404 ms, battery 358 v, temp 1235 C, humidity 9530 %, status 0x00, RSSI -105 dBm, SNR 8 dB, good/bad packets: 70/47
14:43:28.247 -> request: Hello, node 2, message 3337, msg time 1599374830, tx time 404 ms, battery 358 v, temp 1232 C, humidity 9533 %, status 0x00, RSSI -100 dBm, SNR 8 dB, good/bad packets: 71/48
14:43:49.230 -> request: Hello, node 2, message 3338, msg time 1599374851, tx time 404 ms, battery 358 v, temp 1229 C, humidity 9536 %, status 0x00, RSSI -105 dBm, SNR 6 dB, good/bad packets: 72/49
14:44:10.263 -> request: Hello, node 2, message 3339, msg time 1599374872, tx time 404 ms, battery 358 v, temp 1231 C, humidity 9540 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 73/50
14:44:31.255 -> request: Hello, node 2, message 3340, msg time 1599374893, tx time 404 ms, battery 358 v, temp 1228 C, humidity 9539 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 74/51
14:44:52.246 -> request: Hello, node 2, message 3341, msg time 1599374914, tx time 403 ms, battery 358 v, temp 1228 C, humidity 9543 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 75/52
14:45:02.351 -> request: Hello, node 1, message 11119, msg time 1598974208, tx time 402 ms, battery 356 v, temp 1249 C, humidity 8852 %, status 0x00, RSSI -119 dBm, SNR -1 dB, good/bad packets: 76/52
14:45:13.255 -> request: Hello, node 2, message 3342, msg time 1599374935, tx time 403 ms, battery 358 v, temp 1226 C, humidity 9548 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 77/52
14:45:34.260 -> request: Hello, node 2, message 3343, msg time 1599374956, tx time 403 ms, battery 358 v, temp 1222 C, humidity 9543 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 78/53
14:45:55.266 -> request: Hello, node 2, message 3344, msg time 1599374977, tx time 404 ms, battery 358 v, temp 1221 C, humidity 9546 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 79/54
14:46:16.241 -> request: Hello, node 2, message 3345, msg time 1599374998, tx time 404 ms, battery 358 v, temp 1218 C, humidity 9550 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 80/55
14:46:26.351 -> request: Hello, node 1, message 11123, msg time 1598974292, tx time 402 ms, battery 356 v, temp 1240 C, humidity 8874 %, status 0x00, RSSI -118 dBm, SNR -1 dB, good/bad packets: 81/55
14:46:37.260 -> request: Hello, node 2, message 3346, msg time 1599375019, tx time 402 ms, battery 358 v, temp 1220 C, humidity 9552 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 82/55
14:46:58.259 -> request: Hello, node 2, message 3347, msg time 1599375040, tx time 403 ms, battery 358 v, temp 1217 C, humidity 9553 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 83/57
14:47:19.268 -> request: Hello, node 2, message 3348, msg time 1599375061, tx time 404 ms, battery 358 v, temp 1217 C, humidity 9554 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 84/58
14:47:40.242 -> request: Hello, node 2, message 3349, msg time 1599375082, tx time 403 ms, battery 358 v, temp 1214 C, humidity 9555 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 85/59
14:48:01.234 -> request: Hello, node 2, message 3350, msg time 1599375103, tx time 402 ms, battery 358 v, temp 1214 C, humidity 9556 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 86/59
14:48:22.233 -> request: Hello, node 2, message 3351, msg time 1599375124, tx time 404 ms, battery 358 v, temp 1211 C, humidity 9557 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 87/60
14:48:43.257 -> request: Hello, node 2, message 3352, msg time 1599375145, tx time 402 ms, battery 358 v, temp 1212 C, humidity 9563 %, status 0x00, RSSI -103 dBm, SNR 8 dB, good/bad packets: 88/61
14:49:04.247 -> request: Hello, node 2, message 3353, msg time 1599375166, tx time 403 ms, battery 357 v, temp 1208 C, humidity 9564 %, status 0x00, RSSI -104 dBm, SNR 6 dB, good/bad packets: 89/62
14:49:25.243 -> request: Hello, node 2, message 3354, msg time 1599375187, tx time 403 ms, battery 358 v, temp 1206 C, humidity 9564 %, status 0x00, RSSI -108 dBm, SNR 6 dB, good/bad packets: 90/63
14:49:47.244 -> request: Hello, node 2, message 3355, msg time 1599375209, tx time 403 ms, battery 358 v, temp 1205 C, humidity 9565 %, status 0x00, RSSI -105 dBm, SNR 4 dB, good/bad packets: 91/64
14:49:56.361 -> request: Hello, node 1, message 11133, msg time 1598974502, tx time 403 ms, battery 357 v, temp 1226 C, humidity 8920 %, status 0x00, RSSI -116 dBm, SNR -2 dB, good/bad packets: 92/64
14:50:08.234 -> request: Hello, node 2, message 3356, msg time 1599375230, tx time 403 ms, battery 358 v, temp 1206 C, humidity 9568 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 93/64
14:50:29.211 -> request: Hello, node 2, message 3357, msg time 1599375251, tx time 404 ms, battery 357 v, temp 1206 C, humidity 9567 %, status 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 94/65
14:50:50.237 -> request: Hello, node 2, message 3358, msg time 1599375272, tx time 404 ms, battery 357 v, temp 1201 C, humidity 9571 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 95/66
14:51:11.213 -> request: Hello, node 2, message 3359, msg time 1599375293, tx time 404 ms, battery 358 v, temp 1204 C, humidity 9572 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 96/67
14:51:32.241 -> request: Hello, node 2, message 3360, msg time 1599375314, tx time 404 ms, battery 358 v, temp 1201 C, humidity 9572 %, status 0x00, RSSI -105 dBm, SNR 8 dB, good/bad packets: 97/68
14:51:53.231 -> request: Hello, node 2, message 3361, msg time 1599375335, tx time 404 ms, battery 357 v, temp 1201 C, humidity 9577 %, status 0x00, RSSI -99 dBm, SNR 9 dB, good/bad packets: 98/69
14:52:14.212 -> request: Hello, node 2, message 3362, msg time 1599375356, tx time 403 ms, battery 358 v, temp 1198 C, humidity 9579 %, status 0x00, RSSI -105 dBm, SNR 8 dB, good/bad packets: 99/70
14:52:35.238 -> request: Hello, node 2, message 3363, msg time 1599375377, tx time 404 ms, battery 358 v, temp 1197 C, humidity 9575 %, status 0x00, RSSI -101 dBm, SNR 7 dB, good/bad packets: 100/71
14:53:17.202 -> request: Hello, node 2, message 3365, msg time 1599375419, tx time 403 ms, battery 358 v, temp 1195 C, humidity 9577 %, status 0x00, RSSI -99 dBm, SNR 7 dB, good/bad packets: 101/74
