# Nodes outside at S 1 and S 2,3 pos 2 with the server outside on the ground.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 889, tx time 402 ms, battery 345, RSSI -116 dBm, SNR -3 dB, good/bad packets: 155/18
Hello, node 1, message 878, tx time 404 ms, battery 358, RSSI -103 dBm, SNR 4 dB, good/bad packets: 156/18
Hello, node 1, message 879, tx time 403 ms, battery 358, RSSI -105 dBm, SNR 4 dB, good/bad packets: 157/18
Hello, node 3, message 891, tx time 401 ms, battery 339, RSSI -117 dBm, SNR -3 dB, good/bad packets: 158/18
Hello, node 2, message 891, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 1 dB, good/bad packets: 159/18
Hello, node 1, message 880, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 5 dB, good/bad packets: 160/18
Hello, node 3, message 892, tx time 1106 ms, battery 339, RSSI -115 dBm, SNR -2 dB, good/bad packets: 161/18
Hello, node 2, message 892, tx time 401 ms, battery 345, RSSI -109 dBm, SNR 0 dB, good/bad packets: 162/18
Hello, node 1, message 881, tx time 403 ms, battery 358, RSSI -105 dBm, SNR 5 dB, good/bad packets: 163/18
Hello, node 3, message 893, tx time 1306 ms, battery 339, RSSI -114 dBm, SNR -1 dB, good/bad packets: 164/18
Hello, node 2, message 893, tx time 403 ms, battery 345, RSSI -117 dBm, SNR -4 dB, good/bad packets: 165/18
Hello, node 1, message 882, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 4 dB, good/bad packets: 166/18
Hello, node 3, message 894, tx time 809 ms, battery 339, RSSI -109 dBm, SNR 0 dB, good/bad packets: 167/18
Hello, node 1, message 883, tx time 404 ms, battery 358, RSSI -105 dBm, SNR 5 dB, good/bad packets: 168/18
Hello, node 3, message 895, tx time 1206 ms, battery 339, RSSI -113 dBm, SNR -1 dB, good/bad packets: 169/18
Hello, node 2, message 895, tx time 402 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 170/18
Hello, node 1, message 884, tx time 404 ms, battery 358, RSSI -106 dBm, SNR 4 dB, good/bad packets: 171/18
Hello, node 3, message 896, tx time 1206 ms, battery 339, RSSI -118 dBm, SNR -5 dB, good/bad packets: 172/18
Hello, node 2, message 896, tx time 401 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 173/18
Hello, node 1, message 885, tx time 403 ms, battery 358, RSSI -105 dBm, SNR 5 dB, good/bad packets: 174/18
Hello, node 3, message 897, tx time 1206 ms, battery 339, RSSI -114 dBm, SNR -1 dB, good/bad packets: 175/18
Hello, node 2, message 897, tx time 403 ms, battery 345, RSSI -108 dBm, SNR 1 dB, good/bad packets: 176/18
Hello, node 1, message 886, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 4 dB, good/bad packets: 177/18
Hello, node 2, message 898, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 0 dB, good/bad packets: 178/18
Hello, node 1, message 887, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 5 dB, good/bad packets: 179/18
Hello, node 3, message 899, tx time 401 ms, battery 339, RSSI -115 dBm, SNR -2 dB, good/bad packets: 180/18
Hello, node 2, message 899, tx time 401 ms, battery 345, RSSI -120 dBm, SNR -5 dB, good/bad packets: 181/18
Hello, node 1, message 888, tx time 405 ms, battery 358, RSSI -107 dBm, SNR 3 dB, good/bad packets: 182/18
Hello, node 2, message 900, tx time 404 ms, battery 345, RSSI -109 dBm, SNR 0 dB, good/bad packets: 183/19
Hello, node 1, message 889, tx time 404 ms, battery 358, RSSI -106 dBm, SNR 4 dB, good/bad packets: 184/19
Hello, node 3, message 901, tx time 707 ms, battery 339, RSSI -113 dBm, SNR -1 dB, good/bad packets: 185/19
Hello, node 2, message 901, tx time 402 ms, battery 345, RSSI -115 dBm, SNR -2 dB, good/bad packets: 186/19
Hello, node 1, message 890, tx time 406 ms, battery 358, RSSI -107 dBm, SNR 3 dB, good/bad packets: 187/19
Hello, node 3, message 902, tx time 903 ms, battery 339, RSSI -117 dBm, SNR -3 dB, good/bad packets: 188/19
Hello, node 2, message 902, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 2 dB, good/bad packets: 189/19
Hello, node 1, message 891, tx time 404 ms, battery 358, RSSI -105 dBm, SNR 4 dB, good/bad packets: 190/19
Hello, node 3, message 903, tx time 1106 ms, battery 339, RSSI -111 dBm, SNR 0 dB, good/bad packets: 191/19
Hello, node 2, message 903, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 1 dB, good/bad packets: 192/19
Hello, node 1, message 892, tx time 405 ms, battery 358, RSSI -105 dBm, SNR 5 dB, good/bad packets: 193/19
Hello, node 3, message 904, tx time 1106 ms, battery 339, RSSI -116 dBm, SNR -2 dB, good/bad packets: 194/19
Hello, node 2, message 904, tx time 401 ms, battery 345, RSSI -107 dBm, SNR 2 dB, good/bad packets: 195/19
Hello, node 1, message 893, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 5 dB, good/bad packets: 196/19
Hello, node 3, message 905, tx time 1409 ms, battery 339, RSSI -117 dBm, SNR -3 dB, good/bad packets: 197/19
Hello, node 2, message 905, tx time 401 ms, battery 345, RSSI -115 dBm, SNR -2 dB, good/bad packets: 198/19
Hello, node 1, message 894, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 3 dB, good/bad packets: 199/19
Hello, node 2, message 906, tx time 402 ms, battery 345, RSSI -109 dBm, SNR -2 dB, good/bad packets: 200/19
Hello, node 1, message 895, tx time 406 ms, battery 358, RSSI -106 dBm, SNR 4 dB, good/bad packets: 201/19
Hello, node 2, message 907, tx time 402 ms, battery 345, RSSI -106 dBm, SNR 3 dB, good/bad packets: 202/20
Hello, node 1, message 896, tx time 404 ms, battery 358, RSSI -106 dBm, SNR 4 dB, good/bad packets: 203/20
Hello, node 2, message 908, tx time 402 ms, battery 345, RSSI -104 dBm, SNR 5 dB, good/bad packets: 204/20
Hello, node 1, message 897, tx time 404 ms, battery 358, RSSI -108 dBm, SNR 1 dB, good/bad packets: 205/20
Hello, node 2, message 909, tx time 401 ms, battery 345, RSSI -103 dBm, SNR 5 dB, good/bad packets: 206/20
Hello, node 1, message 898, tx time 403 ms, battery 358, RSSI -109 dBm, SNR 0 dB, good/bad packets: 207/20
Hello, node 2, message 910, tx time 401 ms, battery 345, RSSI -102 dBm, SNR 7 dB, good/bad packets: 208/20
Hello, node 1, message 899, tx time 403 ms, battery 358, RSSI -106 dBm, SNR 3 dB, good/bad packets: 209/20
Hello, node 2, message 911, tx time 401 ms, battery 345, RSSI -103 dBm, SNR 6 dB, good/bad packets: 210/20
Hello, node 1, message 900, tx time 405 ms, battery 358, RSSI -105 dBm, SNR 5 dB, good/bad packets: 211/20
Hello, node 2, message 912, tx time 402 ms, battery 345, RSSI -106 dBm, SNR 3 dB, good/bad packets: 212/21
