# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00

# at this point the nodes 2 and 3 are at 'pos 1'

Hello, node 1, message 432, tx time 405 ms, battery 358, RSSI -102 dBm, SNR 6 dB, good/bad packets: 458/46
Hello, node 1, message 433, tx time 406 ms, battery 348, RSSI -105 dBm, SNR 4 dB, good/bad packets: 459/46
Hello, node 1, message 434, tx time 404 ms, battery 355, RSSI -102 dBm, SNR 5 dB, good/bad packets: 460/47
Hello, node 1, message 435, tx time 403 ms, battery 347, RSSI -102 dBm, SNR 5 dB, good/bad packets: 461/48
Hello, node 1, message 436, tx time 403 ms, battery 357, RSSI -102 dBm, SNR 6 dB, good/bad packets: 462/49
Hello, node 1, message 437, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 463/50
Hello, node 1, message 438, tx time 403 ms, battery 360, RSSI -102 dBm, SNR 7 dB, good/bad packets: 464/50
Hello, node 1, message 439, tx time 406 ms, battery 351, RSSI -103 dBm, SNR 7 dB, good/bad packets: 465/51
Hello, node 1, message 440, tx time 406 ms, battery 348, RSSI -103 dBm, SNR 5 dB, good/bad packets: 466/51
Hello, node 1, message 441, tx time 404 ms, battery 356, RSSI -102 dBm, SNR 6 dB, good/bad packets: 467/51
Hello, node 1, message 442, tx time 403 ms, battery 353, RSSI -103 dBm, SNR 6 dB, good/bad packets: 468/53
Hello, node 3, message 455, tx time 401 ms, battery 337, RSSI -122 dBm, SNR -8 dB, good/bad packets: 469/53
Hello, node 2, message 455, tx time 403 ms, battery 343, RSSI -120 dBm, SNR -6 dB, good/bad packets: 470/53
Hello, node 1, message 443, tx time 403 ms, battery 343, RSSI -102 dBm, SNR 6 dB, good/bad packets: 471/53
Hello, node 1, message 444, tx time 403 ms, battery 352, RSSI -102 dBm, SNR 7 dB, good/bad packets: 472/55
Hello, node 1, message 445, tx time 404 ms, battery 351, RSSI -101 dBm, SNR 6 dB, good/bad packets: 473/57
Hello, node 1, message 446, tx time 404 ms, battery 357, RSSI -101 dBm, SNR 7 dB, good/bad packets: 474/59
Hello, node 1, message 447, tx time 404 ms, battery 353, RSSI -101 dBm, SNR 7 dB, good/bad packets: 475/61
Hello, node 1, message 448, tx time 403 ms, battery 350, RSSI -102 dBm, SNR 6 dB, good/bad packets: 476/63
Hello, node 1, message 449, tx time 403 ms, battery 349, RSSI -101 dBm, SNR 6 dB, good/bad packets: 477/65
Hello, node 1, message 450, tx time 405 ms, battery 348, RSSI -101 dBm, SNR 6 dB, good/bad packets: 478/67
Hello, node 1, message 451, tx time 404 ms, battery 351, RSSI -101 dBm, SNR 6 dB, good/bad packets: 479/69
Hello, node 1, message 452, tx time 404 ms, battery 357, RSSI -101 dBm, SNR 6 dB, good/bad packets: 480/71
Hello, node 1, message 453, tx time 404 ms, battery 355, RSSI -101 dBm, SNR 7 dB, good/bad packets: 481/73
Hello, node 1, message 454, tx time 403 ms, battery 353, RSSI -101 dBm, SNR 7 dB, good/bad packets: 482/75
Hello, node 1, message 455, tx time 403 ms, battery 353, RSSI -102 dBm, SNR 6 dB, good/bad packets: 483/77
Hello, node 2, message 468, tx time 403 ms, battery 343, RSSI -119 dBm, SNR -5 dB, good/bad packets: 484/78
Hello, node 1, message 456, tx time 403 ms, battery 345, RSSI -101 dBm, SNR 7 dB, good/bad packets: 485/78
Hello, node 2, message 469, tx time 404 ms, battery 343, RSSI -116 dBm, SNR -2 dB, good/bad packets: 486/79
Hello, node 1, message 457, tx time 403 ms, battery 351, RSSI -101 dBm, SNR 7 dB, good/bad packets: 487/79
Hello, node 2, message 470, tx time 402 ms, battery 343, RSSI -113 dBm, SNR -1 dB, good/bad packets: 488/80
Hello, node 1, message 458, tx time 404 ms, battery 342, RSSI -103 dBm, SNR 6 dB, good/bad packets: 489/80
Hello, node 3, message 471, tx time 401 ms, battery 338, RSSI -120 dBm, SNR -6 dB, good/bad packets: 490/80
Hello, node 2, message 471, tx time 403 ms, battery 343, RSSI -115 dBm, SNR -3 dB, good/bad packets: 491/80
Hello, node 1, message 459, tx time 404 ms, battery 351, RSSI -102 dBm, SNR 6 dB, good/bad packets: 492/80
Hello, node 2, message 472, tx time 401 ms, battery 343, RSSI -108 dBm, SNR 0 dB, good/bad packets: 493/81
Hello, node 1, message 460, tx time 403 ms, battery 356, RSSI -104 dBm, SNR 5 dB, good/bad packets: 494/81
Hello, node 3, message 473, tx time 401 ms, battery 338, RSSI -121 dBm, SNR -7 dB, good/bad packets: 495/81
Hello, node 2, message 473, tx time 401 ms, battery 343, RSSI -113 dBm, SNR -1 dB, good/bad packets: 496/81
Hello, node 1, message 461, tx time 403 ms, battery 352, RSSI -101 dBm, SNR 7 dB, good/bad packets: 497/81
Hello, node 3, message 474, tx time 403 ms, battery 338, RSSI -121 dBm, SNR -7 dB, good/bad packets: 498/81
Hello, node 2, message 474, tx time 403 ms, battery 343, RSSI -114 dBm, SNR -2 dB, good/bad packets: 499/81
Hello, node 1, message 462, tx time 403 ms, battery 358, RSSI -104 dBm, SNR 5 dB, good/bad packets: 500/81
Hello, node 2, message 475, tx time 402 ms, battery 343, RSSI -117 dBm, SNR -4 dB, good/bad packets: 501/82
Hello, node 1, message 463, tx time 403 ms, battery 356, RSSI -103 dBm, SNR 5 dB, good/bad packets: 502/82
Hello, node 2, message 476, tx time 402 ms, battery 343, RSSI -118 dBm, SNR -5 dB, good/bad packets: 503/82
Hello, node 1, message 464, tx time 404 ms, battery 360, RSSI -103 dBm, SNR 5 dB, good/bad packets: 504/82
Hello, node 2, message 477, tx time 401 ms, battery 343, RSSI -119 dBm, SNR -6 dB, good/bad packets: 505/82
Hello, node 1, message 465, tx time 404 ms, battery 363, RSSI -104 dBm, SNR 6 dB, good/bad packets: 506/82
Hello, node 1, message 466, tx time 404 ms, battery 363, RSSI -103 dBm, SNR 6 dB, good/bad packets: 507/83
Hello, node 1, message 467, tx time 405 ms, battery 363, RSSI -106 dBm, SNR 2 dB, good/bad packets: 508/85
Hello, node 2, message 480, tx time 401 ms, battery 343, RSSI -116 dBm, SNR -3 dB, good/bad packets: 509/85
Hello, node 1, message 468, tx time 405 ms, battery 363, RSSI -103 dBm, SNR 6 dB, good/bad packets: 510/85
Hello, node 3, message 481, tx time 404 ms, battery 338, RSSI -122 dBm, SNR -7 dB, good/bad packets: 511/85
Hello, node 1, message 469, tx time 403 ms, battery 363, RSSI -101 dBm, SNR 7 dB, good/bad packets: 512/86
Hello, node 2, message 482, tx time 404 ms, battery 343, RSSI -113 dBm, SNR -1 dB, good/bad packets: 513/86
Hello, node 1, message 470, tx time 404 ms, battery 363, RSSI -103 dBm, SNR 6 dB, good/bad packets: 514/86
Hello, node 1, message 471, tx time 404 ms, battery 363, RSSI -103 dBm, SNR 5 dB, good/bad packets: 515/86
Hello, node 1, message 476, tx time 404 ms, battery 364, RSSI -104 dBm, SNR 5 dB, good/bad packets: 516/92
Hello, node 1, message 477, tx time 404 ms, battery 364, RSSI -104 dBm, SNR 4 dB, good/bad packets: 517/92
Hello, node 3, message 491, tx time 401 ms, battery 338, RSSI -119 dBm, SNR -5 dB, good/bad packets: 518/94
Hello, node 3, message 495, tx time 402 ms, battery 338, RSSI -119 dBm, SNR -6 dB, good/bad packets: 519/101
Hello, node 1, message 485, tx time 403 ms, battery 364, RSSI -102 dBm, SNR 6 dB, good/bad packets: 520/105
Hello, node 1, message 489, tx time 404 ms, battery 364, RSSI -104 dBm, SNR 5 dB, good/bad packets: 521/109
Hello, node 1, message 492, tx time 403 ms, battery 364, RSSI -101 dBm, SNR 7 dB, good/bad packets: 522/111
Hello, node 1, message 493, tx time 403 ms, battery 364, RSSI -100 dBm, SNR 7 dB, good/bad packets: 523/111
Hello, node 1, message 494, tx time 403 ms, battery 364, RSSI -102 dBm, SNR 5 dB, good/bad packets: 524/111
Hello, node 1, message 496, tx time 406 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 525/112
Hello, node 1, message 497, tx time 404 ms, battery 356, RSSI -101 dBm, SNR 7 dB, good/bad packets: 526/112
Hello, node 1, message 498, tx time 403 ms, battery 356, RSSI -101 dBm, SNR 6 dB, good/bad packets: 527/112
Hello, node 1, message 499, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 7 dB, good/bad packets: 528/112
Hello, node 1, message 500, tx time 403 ms, battery 360, RSSI -100 dBm, SNR 6 dB, good/bad packets: 529/112
Hello, node 1, message 501, tx time 506 ms, battery 362, RSSI -101 dBm, SNR 8 dB, good/bad packets: 530/112
Hello, node 1, message 502, tx time 805 ms, battery 360, RSSI -100 dBm, SNR 7 dB, good/bad packets: 531/112
Hello, node 1, message 503, tx time 404 ms, battery 360, RSSI -101 dBm, SNR 6 dB, good/bad packets: 532/113
Hello, node 1, message 504, tx time 403 ms, battery 356, RSSI -102 dBm, SNR 5 dB, good/bad packets: 533/113
Hello, node 1, message 505, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 6 dB, good/bad packets: 534/113
Hello, node 1, message 506, tx time 403 ms, battery 356, RSSI -101 dBm, SNR 6 dB, good/bad packets: 535/113
Hello, node 1, message 507, tx time 405 ms, battery 356, RSSI -102 dBm, SNR 6 dB, good/bad packets: 536/113
Hello, node 1, message 508, tx time 406 ms, battery 355, RSSI -103 dBm, SNR 4 dB, good/bad packets: 537/113
