# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00
Hello, node 1, message 265, tx time 406 ms, battery 356, RSSI -67 dBm, SNR 8 dB, good/bad packets: 68/1
Hello, node 2, message 278, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 8 dB, good/bad packets: 69/1
Hello, node 3, message 279, tx time 401 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 70/1
Hello, node 1, message 266, tx time 404 ms, battery 356, RSSI -67 dBm, SNR 9 dB, good/bad packets: 71/1
Hello, node 2, message 279, tx time 401 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 72/1
Hello, node 3, message 280, tx time 401 ms, battery 334, RSSI -77 dBm, SNR 9 dB, good/bad packets: 73/1
Hello, node 1, message 267, tx time 403 ms, battery 356, RSSI -63 dBm, SNR 9 dB, good/bad packets: 74/1
Hello, node 2, message 280, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 75/1
Hello, node 3, message 281, tx time 404 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 76/1
Hello, node 1, message 268, tx time 401 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 77/1
Hello, node 2, message 281, tx time 402 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 78/1
Hello, node 3, message 282, tx time 404 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 79/1
Hello, node 1, message 269, tx time 403 ms, battery 356, RSSI -65 dBm, SNR 8 dB, good/bad packets: 80/1
Hello, node 2, message 282, tx time 402 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 81/1
Hello, node 3, message 283, tx time 402 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 82/1
Hello, node 1, message 270, tx time 404 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 83/1
Hello, node 2, message 283, tx time 402 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 84/1
Hello, node 3, message 284, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 10 dB, good/bad packets: 85/1
Hello, node 1, message 271, tx time 402 ms, battery 356, RSSI -72 dBm, SNR 9 dB, good/bad packets: 86/1
Hello, node 2, message 284, tx time 401 ms, battery 340, RSSI -72 dBm, SNR 9 dB, good/bad packets: 87/1
Hello, node 3, message 285, tx time 403 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 88/1
Hello, node 1, message 272, tx time 404 ms, battery 356, RSSI -70 dBm, SNR 8 dB, good/bad packets: 89/1
Hello, node 2, message 285, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 90/1
Hello, node 3, message 286, tx time 403 ms, battery 334, RSSI -73 dBm, SNR 9 dB, good/bad packets: 91/1
Hello, node 1, message 273, tx time 401 ms, battery 356, RSSI -71 dBm, SNR 9 dB, good/bad packets: 92/1
Hello, node 2, message 286, tx time 401 ms, battery 340, RSSI -68 dBm, SNR 9 dB, good/bad packets: 93/1
Hello, node 3, message 287, tx time 402 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 94/1
Hello, node 1, message 274, tx time 405 ms, battery 356, RSSI -69 dBm, SNR 9 dB, good/bad packets: 95/1
Hello, node 2, message 287, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 96/1
Hello, node 3, message 288, tx time 404 ms, battery 334, RSSI -75 dBm, SNR 10 dB, good/bad packets: 97/1
Hello, node 1, message 275, tx time 401 ms, battery 356, RSSI -76 dBm, SNR 9 dB, good/bad packets: 98/1
Hello, node 2, message 288, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 99/1
Hello, node 3, message 289, tx time 402 ms, battery 334, RSSI -73 dBm, SNR 9 dB, good/bad packets: 100/1
Hello, node 1, message 276, tx time 404 ms, battery 356, RSSI -71 dBm, SNR 9 dB, good/bad packets: 101/1
Hello, node 2, message 289, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 102/1
Hello, node 3, message 290, tx time 401 ms, battery 334, RSSI -74 dBm, SNR 10 dB, good/bad packets: 103/1
Hello, node 1, message 277, tx time 402 ms, battery 356, RSSI -72 dBm, SNR 9 dB, good/bad packets: 104/1
Hello, node 2, message 290, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 105/1
Hello, node 3, message 291, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 106/1
Hello, node 1, message 278, tx time 402 ms, battery 356, RSSI -72 dBm, SNR 9 dB, good/bad packets: 107/1
Hello, node 2, message 291, tx time 401 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 108/1
Hello, node 3, message 292, tx time 401 ms, battery 334, RSSI -74 dBm, SNR 10 dB, good/bad packets: 109/1
Hello, node 1, message 279, tx time 403 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 110/1
Hello, node 2, message 292, tx time 401 ms, battery 340, RSSI -76 dBm, SNR 9 dB, good/bad packets: 111/1
Hello, node 3, message 293, tx time 401 ms, battery 334, RSSI -72 dBm, SNR 10 dB, good/bad packets: 112/1
Hello, node 1, message 280, tx time 403 ms, battery 356, RSSI -70 dBm, SNR 9 dB, good/bad packets: 113/1
Hello, node 2, message 293, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 114/1
Hello, node 3, message 294, tx time 404 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 115/1
Hello, node 1, message 281, tx time 403 ms, battery 356, RSSI -70 dBm, SNR 9 dB, good/bad packets: 116/1
Hello, node 2, message 294, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 117/1
Hello, node 3, message 295, tx time 404 ms, battery 334, RSSI -74 dBm, SNR 9 dB, good/bad packets: 118/1
Hello, node 1, message 282, tx time 401 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 119/1
Hello, node 2, message 295, tx time 404 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 120/1
Hello, node 3, message 296, tx time 403 ms, battery 334, RSSI -79 dBm, SNR 9 dB, good/bad packets: 121/1
Hello, node 1, message 283, tx time 402 ms, battery 358, RSSI -67 dBm, SNR 9 dB, good/bad packets: 122/1
Hello, node 2, message 296, tx time 401 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 123/1
Hello, node 3, message 297, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 10 dB, good/bad packets: 124/1
Hello, node 1, message 284, tx time 404 ms, battery 333, RSSI -59 dBm, SNR 9 dB, good/bad packets: 125/1
Hello, node 2, message 297, tx time 403 ms, battery 340, RSSI -67 dBm, SNR 9 dB, good/bad packets: 126/1
Hello, node 3, message 298, tx time 401 ms, battery 334, RSSI -56 dBm, SNR 9 dB, good/bad packets: 127/1
Hello, node 2, message 298, tx time 401 ms, battery 340, RSSI -60 dBm, SNR 9 dB, good/bad packets: 128/1
Hello, node 3, message 299, tx time 401 ms, battery 334, RSSI -58 dBm, SNR 9 dB, good/bad packets: 129/1
Hello, node 1, message 286, tx time 401 ms, battery 336, RSSI -64 dBm, SNR 9 dB, good/bad packets: 130/1
Hello, node 2, message 299, tx time 403 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 131/1
Hello, node 3, message 300, tx time 404 ms, battery 334, RSSI -67 dBm, SNR 10 dB, good/bad packets: 132/1
Hello, node 1, message 287, tx time 403 ms, battery 338, RSSI -61 dBm, SNR 9 dB, good/bad packets: 133/1
Hello, node 2, message 300, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 134/1
Hello, node 3, message 301, tx time 402 ms, battery 334, RSSI -67 dBm, SNR 9 dB, good/bad packets: 135/1
Hello, node 1, message 288, tx time 401 ms, battery 338, RSSI -61 dBm, SNR 10 dB, good/bad packets: 136/1
Hello, node 2, message 301, tx time 404 ms, battery 340, RSSI -64 dBm, SNR 9 dB, good/bad packets: 137/1
Hello, node 3, message 302, tx time 404 ms, battery 334, RSSI -65 dBm, SNR 9 dB, good/bad packets: 138/1
