# Indoors, forcing collisions. S2 and 3 are almost completely in sync.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.


Start receiveer
Listening on frequency: 915.00
Hello, node 3, message 30, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 78/7
Hello, node 1, message 31, tx time 2010 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 79/7
Hello, node 2, message 30, tx time 1009 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 80/7
Hello, node 3, message 31, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 81/7
Hello, node 2, message 31, tx time 1512 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 82/7
Hello, node 1, message 32, tx time 707 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 83/7
Hello, node 3, message 32, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 84/7
Hello, node 1, message 33, tx time 2112 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 85/7
Hello, node 2, message 32, tx time 1106 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 86/7
Hello, node 3, message 33, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 10 dB, good/bad packets: 87/7
Hello, node 1, message 34, tx time 709 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 88/7
Hello, node 2, message 33, tx time 1808 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 89/7
Hello, node 3, message 34, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 90/7
Hello, node 2, message 34, tx time 1507 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 91/7
Hello, node 1, message 35, tx time 708 ms, battery 351, RSSI -50 dBm, SNR 8 dB, good/bad packets: 92/7
Hello, node 3, message 35, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 93/7
Hello, node 1, message 36, tx time 1310 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 94/7
Hello, node 2, message 35, tx time 809 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 95/7
Hello, node 3, message 36, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 96/7
Hello, node 1, message 37, tx time 709 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 97/7
Hello, node 2, message 36, tx time 1409 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 98/7
Hello, node 3, message 37, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 99/7
Hello, node 2, message 37, tx time 1307 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 100/7
Hello, node 1, message 38, tx time 707 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 101/7
Hello, node 3, message 38, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 102/7
Hello, node 2, message 38, tx time 805 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 103/7
Hello, node 1, message 39, tx time 1512 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 104/7
Hello, node 3, message 39, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 105/7
Hello, node 2, message 39, tx time 903 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 106/7
Hello, node 1, message 40, tx time 1608 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 107/7
Hello, node 3, message 40, tx time 403 ms, battery 335, RSSI -42 dBm, SNR 9 dB, good/bad packets: 108/7
Hello, node 2, message 40, tx time 1206 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 109/7
Hello, node 1, message 41, tx time 1608 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 110/7
Hello, node 3, message 41, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 111/7
Hello, node 1, message 42, tx time 1609 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 112/7
Hello, node 2, message 41, tx time 1206 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 113/7
Hello, node 3, message 42, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 114/7
Hello, node 1, message 43, tx time 1005 ms, battery 351, RSSI -51 dBm, SNR 11 dB, good/bad packets: 115/7
Hello, node 2, message 42, tx time 2308 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 116/7
Hello, node 3, message 43, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 117/7
Hello, node 2, message 43, tx time 1513 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 118/7
Hello, node 1, message 44, tx time 805 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 119/7
Hello, node 3, message 44, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 120/7
Hello, node 1, message 45, tx time 1708 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 121/7
Hello, node 2, message 44, tx time 1207 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 122/7
Hello, node 3, message 45, tx time 404 ms, battery 335, RSSI -36 dBm, SNR 5 dB, good/bad packets: 123/7
Hello, node 2, message 45, tx time 1706 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 124/7
Hello, node 1, message 47, tx time 403 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 125/7
Hello, node 3, message 46, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 126/7
Hello, node 2, message 46, tx time 1206 ms, battery 340, RSSI -42 dBm, SNR 9 dB, good/bad packets: 127/7
Hello, node 1, message 48, tx time 403 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 128/7
Hello, node 2, message 47, tx time 1909 ms, battery 340, RSSI -42 dBm, SNR 9 dB, good/bad packets: 129/7
Hello, node 3, message 47, tx time 903 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 130/7
Hello, node 1, message 49, tx time 403 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 131/7
Hello, node 2, message 48, tx time 903 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 132/7
Hello, node 3, message 48, tx time 1808 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 133/7
