Hello, node 2, message 27604, msg time 1599885336, tx time 403 ms, battery 357 v, temp 1634 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60767/1767
Hello, node 2, message 27605, msg time 1599885357, tx time 404 ms, battery 357 v, temp 1631 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60768/1767
Hello, node 2, message 27606, msg time 1599885378, tx time 404 ms, battery 357 v, temp 1637 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60769/1767
Hello, node 2, message 27607, msg time 1599885399, tx time 404 ms, battery 357 v, temp 1637 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60770/1767
Hello, node 2, message 27608, msg time 1599885420, tx time 402 ms, battery 357 v, temp 1637 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60771/1767
Hello, node 2, message 27609, msg time 1599885441, tx time 404 ms, battery 357 v, temp 1639 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60772/1767
Hello, node 2, message 27610, msg time 1599885462, tx time 404 ms, battery 356 v, temp 1642 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60773/1767
Hello, node 2, message 27611, msg time 1599885483, tx time 402 ms, battery 357 v, temp 1644 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60774/1767
Hello, node 2, message 27612, msg time 1599885504, tx time 402 ms, battery 356 v, temp 1644 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60775/1767
Hello, node 2, message 27613, msg time 1599885525, tx time 404 ms, battery 357 v, temp 1648 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60776/1767
Hello, node 2, message 27614, msg time 1599885546, tx time 402 ms, battery 357 v, temp 1645 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60777/1767
Hello, node 2, message 27615, msg time 1599885567, tx time 403 ms, battery 357 v, temp 1648 C, humidity 7803 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60778/1767
Hello, node 2, message 27617, msg time 1599885609, tx time 402 ms, battery 357 v, temp 1652 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60779/1768
Hello, node 2, message 27618, msg time 1599885630, tx time 404 ms, battery 357 v, temp 1651 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60780/1768
Hello, node 2, message 27619, msg time 1599885651, tx time 402 ms, battery 357 v, temp 1653 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60781/1768
Hello, node 2, message 27620, msg time 1599885672, tx time 402 ms, battery 357 v, temp 1653 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60782/1768
Hello, node 2, message 27621, msg time 1599885693, tx time 403 ms, battery 357 v, temp 1654 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60783/1768
Hello, node 2, message 27622, msg time 1599885714, tx time 402 ms, battery 357 v, temp 1656 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60784/1768
Hello, node 2, message 27623, msg time 1599885735, tx time 404 ms, battery 357 v, temp 1658 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60785/1768
Hello, node 2, message 27624, msg time 1599885756, tx time 402 ms, battery 357 v, temp 1658 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60786/1768
Hello, node 2, message 27625, msg time 1599885777, tx time 402 ms, battery 357 v, temp 1662 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60787/1768
