# Nodes outside at S 1 and S 2,3 pos 2 with the server outside, line-of-sight to nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 3, message 719, tx time 404 ms, battery 339, RSSI -118 dBm, SNR -4 dB, good/bad packets: 942/184
Hello, node 1, message 707, tx time 405 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 943/184
Hello, node 3, message 720, tx time 402 ms, battery 339, RSSI -114 dBm, SNR -2 dB, good/bad packets: 944/185
Hello, node 1, message 708, tx time 406 ms, battery 359, RSSI -105 dBm, SNR 4 dB, good/bad packets: 945/185
Hello, node 2, message 720, tx time 402 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 946/185
Hello, node 3, message 721, tx time 401 ms, battery 339, RSSI -115 dBm, SNR -2 dB, good/bad packets: 947/185
Hello, node 1, message 709, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 6 dB, good/bad packets: 948/185
Hello, node 2, message 721, tx time 401 ms, battery 345, RSSI -107 dBm, SNR 3 dB, good/bad packets: 949/185
Hello, node 3, message 722, tx time 401 ms, battery 339, RSSI -108 dBm, SNR 0 dB, good/bad packets: 950/185
Hello, node 1, message 710, tx time 403 ms, battery 359, RSSI -106 dBm, SNR 4 dB, good/bad packets: 951/185
Hello, node 2, message 722, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 0 dB, good/bad packets: 952/185
Hello, node 3, message 723, tx time 401 ms, battery 339, RSSI -117 dBm, SNR -4 dB, good/bad packets: 953/185
Hello, node 1, message 711, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 954/185
Hello, node 3, message 724, tx time 401 ms, battery 339, RSSI -117 dBm, SNR -4 dB, good/bad packets: 955/186
Hello, node 1, message 712, tx time 403 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 956/186
Hello, node 2, message 724, tx time 403 ms, battery 345, RSSI -106 dBm, SNR 3 dB, good/bad packets: 957/186
Hello, node 3, message 725, tx time 402 ms, battery 339, RSSI -108 dBm, SNR 0 dB, good/bad packets: 958/186
Hello, node 1, message 713, tx time 405 ms, battery 359, RSSI -105 dBm, SNR 4 dB, good/bad packets: 959/186
Hello, node 2, message 725, tx time 402 ms, battery 345, RSSI -115 dBm, SNR -2 dB, good/bad packets: 960/186
Hello, node 3, message 726, tx time 402 ms, battery 339, RSSI -107 dBm, SNR 1 dB, good/bad packets: 961/186
Hello, node 1, message 714, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 962/186
Hello, node 2, message 726, tx time 402 ms, battery 345, RSSI -111 dBm, SNR -1 dB, good/bad packets: 963/186
Hello, node 3, message 727, tx time 401 ms, battery 339, RSSI -108 dBm, SNR 0 dB, good/bad packets: 964/186
Hello, node 1, message 715, tx time 406 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 965/186
Hello, node 3, message 728, tx time 401 ms, battery 339, RSSI -103 dBm, SNR 5 dB, good/bad packets: 966/187
Hello, node 1, message 716, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 967/187
Hello, node 3, message 729, tx time 401 ms, battery 339, RSSI -109 dBm, SNR 0 dB, good/bad packets: 968/188
Hello, node 1, message 717, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 969/188
Hello, node 2, message 729, tx time 401 ms, battery 345, RSSI -108 dBm, SNR 1 dB, good/bad packets: 970/188
Hello, node 3, message 730, tx time 401 ms, battery 339, RSSI -107 dBm, SNR 1 dB, good/bad packets: 971/188
Hello, node 1, message 718, tx time 403 ms, battery 359, RSSI -105 dBm, SNR 5 dB, good/bad packets: 972/188
Hello, node 2, message 730, tx time 403 ms, battery 345, RSSI -103 dBm, SNR 5 dB, good/bad packets: 973/188
Hello, node 3, message 731, tx time 404 ms, battery 340, RSSI -106 dBm, SNR 3 dB, good/bad packets: 974/188
Hello, node 1, message 719, tx time 403 ms, battery 359, RSSI -99 dBm, SNR 7 dB, good/bad packets: 975/188
Hello, node 2, message 731, tx time 404 ms, battery 345, RSSI -103 dBm, SNR 5 dB, good/bad packets: 976/188
Hello, node 3, message 732, tx time 404 ms, battery 339, RSSI -101 dBm, SNR 8 dB, good/bad packets: 977/188
Hello, node 1, message 720, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 978/188
Hello, node 2, message 732, tx time 402 ms, battery 345, RSSI -98 dBm, SNR 9 dB, good/bad packets: 979/188
Hello, node 3, message 733, tx time 402 ms, battery 339, RSSI -105 dBm, SNR 4 dB, good/bad packets: 980/188
Hello, node 1, message 721, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 981/188
Hello, node 2, message 733, tx time 402 ms, battery 345, RSSI -100 dBm, SNR 7 dB, good/bad packets: 982/188
Hello, node 3, message 734, tx time 401 ms, battery 340, RSSI -105 dBm, SNR 3 dB, good/bad packets: 983/188
Hello, node 1, message 722, tx time 404 ms, battery 359, RSSI -99 dBm, SNR 8 dB, good/bad packets: 984/188
Hello, node 2, message 734, tx time 401 ms, battery 345, RSSI -103 dBm, SNR 4 dB, good/bad packets: 985/188
Hello, node 3, message 735, tx time 401 ms, battery 339, RSSI -103 dBm, SNR 5 dB, good/bad packets: 986/188
Hello, node 1, message 723, tx time 403 ms, battery 359, RSSI -100 dBm, SNR 7 dB, good/bad packets: 987/188
Hello, node 2, message 735, tx time 401 ms, battery 345, RSSI -105 dBm, SNR 4 dB, good/bad packets: 988/188
Hello, node 3, message 736, tx time 403 ms, battery 339, RSSI -101 dBm, SNR 6 dB, good/bad packets: 989/188
Hello, node 1, message 724, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 990/188
Hello, node 2, message 736, tx time 403 ms, battery 345, RSSI -103 dBm, SNR 6 dB, good/bad packets: 991/188
Hello, node 3, message 737, tx time 402 ms, battery 339, RSSI -100 dBm, SNR 2 dB, good/bad packets: 992/188
Hello, node 1, message 725, tx time 405 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 993/188
Hello, node 2, message 737, tx time 404 ms, battery 345, RSSI -100 dBm, SNR 8 dB, good/bad packets: 994/188
Hello, node 3, message 738, tx time 404 ms, battery 339, RSSI -106 dBm, SNR 3 dB, good/bad packets: 995/188
Hello, node 1, message 726, tx time 406 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 996/188
Hello, node 2, message 738, tx time 404 ms, battery 345, RSSI -97 dBm, SNR 3 dB, good/bad packets: 997/188
Hello, node 3, message 739, tx time 402 ms, battery 339, RSSI -105 dBm, SNR 4 dB, good/bad packets: 998/188
Hello, node 1, message 727, tx time 406 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 999/188
Hello, node 2, message 739, tx time 402 ms, battery 345, RSSI -100 dBm, SNR 8 dB, good/bad packets: 1000/188
Hello, node 3, message 740, tx time 401 ms, battery 339, RSSI -105 dBm, SNR 4 dB, good/bad packets: 1001/188
Hello, node 1, message 728, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1002/188
Hello, node 2, message 740, tx time 401 ms, battery 345, RSSI -105 dBm, SNR 4 dB, good/bad packets: 1003/188
Hello, node 3, message 741, tx time 401 ms, battery 339, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1004/188
Hello, node 1, message 729, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 1005/188
Hello, node 2, message 741, tx time 401 ms, battery 345, RSSI -105 dBm, SNR 5 dB, good/bad packets: 1006/188
Hello, node 3, message 742, tx time 401 ms, battery 339, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1007/188
Hello, node 1, message 730, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1008/188
