Hello, node 1, message 6393, msg time 1598874954, tx time 403 ms, battery 355 v, temp 2449 C, humidity 2731 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14823/1148
Hello, node 2, message 8, msg time 1599303704, tx time 403 ms, battery 207 v, temp 2416 C, humidity 2776 %, status 0x00, RSSI -53 dBm, SNR 9 dB, good/bad packets: 14824/1148
Hello, node 1, message 6394, msg time 1598874975, tx time 404 ms, battery 355 v, temp 2452 C, humidity 2730 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14825/1148
Hello, node 2, message 9, msg time 1599303725, tx time 403 ms, battery 302 v, temp 2417 C, humidity 2784 %, status 0x00, RSSI -42 dBm, SNR 10 dB, good/bad packets: 14826/1149
Hello, node 1, message 6395, msg time 1598874996, tx time 403 ms, battery 355 v, temp 2454 C, humidity 2725 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14827/1149
Hello, node 2, message 10, msg time 1599303746, tx time 404 ms, battery 71 v, temp 2419 C, humidity 2781 %, status 0x00, RSSI -42 dBm, SNR 9 dB, good/bad packets: 14828/1149
Hello, node 1, message 6396, msg time 1598875017, tx time 404 ms, battery 355 v, temp 2455 C, humidity 2727 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14829/1149
Hello, node 2, message 11, msg time 1599303767, tx time 405 ms, battery 354 v, temp 2419 C, humidity 2779 %, status 0x00, RSSI -42 dBm, SNR 9 dB, good/bad packets: 14830/1149
Hello, node 1, message 6397, msg time 1598875038, tx time 403 ms, battery 355 v, temp 2458 C, humidity 2726 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14831/1149
Hello, node 2, message 12, msg time 1599303788, tx time 404 ms, battery 219 v, temp 2422 C, humidity 2778 %, status 0x00, RSSI -41 dBm, SNR 9 dB, good/bad packets: 14832/1149
Hello, node 1, message 6398, msg time 1598875059, tx time 404 ms, battery 355 v, temp 2464 C, humidity 2724 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14833/1149
Hello, node 2, message 13, msg time 1599303809, tx time 403 ms, battery 118 v, temp 2422 C, humidity 2781 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14834/1149
Hello, node 1, message 6399, msg time 1598875080, tx time 403 ms, battery 355 v, temp 2464 C, humidity 2726 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14835/1149
Hello, node 2, message 14, msg time 1599303830, tx time 403 ms, battery 352 v, temp 2423 C, humidity 2776 %, status 0x00, RSSI -53 dBm, SNR 9 dB, good/bad packets: 14836/1149
Hello, node 1, message 6400, msg time 1598875101, tx time 404 ms, battery 355 v, temp 2464 C, humidity 2725 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14837/1149
Hello, node 2, message 15, msg time 1599303851, tx time 404 ms, battery 68 v, temp 2424 C, humidity 2776 %, status 0x00, RSSI -50 dBm, SNR 9 dB, good/bad packets: 14838/1149
Hello, node 1, message 6401, msg time 1598875122, tx time 403 ms, battery 355 v, temp 2467 C, humidity 2726 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14839/1149
Hello, node 2, message 16, msg time 1599303872, tx time 404 ms, battery 202 v, temp 2427 C, humidity 2777 %, status 0x00, RSSI -50 dBm, SNR 9 dB, good/bad packets: 14840/1149
Hello, node 1, message 6402, msg time 1598875143, tx time 404 ms, battery 355 v, temp 2467 C, humidity 2724 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14841/1149
Hello, node 2, message 1, msg time 1599303554, tx time 0 ms, battery 405 v, temp 2427 C, humidity 2779 %, status 0x00, RSSI -54 dBm, SNR 10 dB, good/bad packets: 14842/1149
Hello, node 1, message 6403, msg time 1598875164, tx time 404 ms, battery 355 v, temp 2469 C, humidity 2721 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14843/1149
Hello, node 2, message 2, msg time 1599303576, tx time 403 ms, battery 192 v, temp 2429 C, humidity 2779 %, status 0x00, RSSI -48 dBm, SNR 9 dB, good/bad packets: 14844/1149
Hello, node 1, message 6404, msg time 1598875185, tx time 403 ms, battery 355 v, temp 2471 C, humidity 2724 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14845/1149
Hello, node 2, message 3, msg time 1599303597, tx time 403 ms, battery 132 v, temp 2432 C, humidity 2780 %, status 0x00, RSSI -48 dBm, SNR 9 dB, good/bad packets: 14846/1149
Hello, node 1, message 6405, msg time 1598875206, tx time 404 ms, battery 355 v, temp 2473 C, humidity 2722 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14847/1149
Hello, node 2, message 4, msg time 1599303618, tx time 403 ms, battery 346 v, temp 2429 C, humidity 2777 %, status 0x00, RSSI -67 dBm, SNR 9 dB, good/bad packets: 14848/1149
Hello, node 1, message 6406, msg time 1598875227, tx time 403 ms, battery 355 v, temp 2478 C, humidity 2725 %, status 0x00, RSSI -65 dBm, SNR 9 dB, good/bad packets: 14849/1149
Hello, node 2, message 5, msg time 1599303639, tx time 403 ms, battery 47 v, temp 2432 C, humidity 2809 %, status 0x00, RSSI -43 dBm, SNR 9 dB, good/bad packets: 14850/1149
Hello, node 1, message 6407, msg time 1598875248, tx time 404 ms, battery 355 v, temp 2476 C, humidity 2725 %, status 0x00, RSSI -65 dBm, SNR 9 dB, good/bad packets: 14851/1149
Hello, node 2, message 6, msg time 1599303660, tx time 403 ms, battery 211 v, temp 2435 C, humidity 2790 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14852/1149
Hello, node 1, message 6408, msg time 1598875269, tx time 403 ms, battery 355 v, temp 2478 C, humidity 2723 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14853/1149
Hello, node 2, message 7, msg time 1599303681, tx time 403 ms, battery 295 v, temp 2436 C, humidity 2779 %, status 0x00, RSSI -45 dBm, SNR 9 dB, good/bad packets: 14854/1149
Hello, node 1, message 6409, msg time 1598875290, tx time 404 ms, battery 355 v, temp 2482 C, humidity 2722 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14855/1149
Hello, node 2, message 8, msg time 1599303702, tx time 403 ms, battery 74 v, temp 2437 C, humidity 2781 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14856/1149
Hello, node 1, message 6410, msg time 1598875311, tx time 403 ms, battery 355 v, temp 2485 C, humidity 2726 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14857/1149
Hello, node 2, message 9, msg time 1599303723, tx time 403 ms, battery 373 v, temp 2437 C, humidity 2783 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14858/1149
Hello, node 1, message 6411, msg time 1598875332, tx time 403 ms, battery 355 v, temp 2488 C, humidity 2725 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14859/1149
Hello, node 2, message 10, msg time 1599303744, tx time 403 ms, battery 212 v, temp 2440 C, humidity 2792 %, status 0x00, RSSI -45 dBm, SNR 10 dB, good/bad packets: 14860/1149
Hello, node 1, message 6412, msg time 1598875353, tx time 404 ms, battery 355 v, temp 2486 C, humidity 2725 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14861/1149
Hello, node 2, message 11, msg time 1599303765, tx time 403 ms, battery 120 v, temp 2440 C, humidity 2789 %, status 0x00, RSSI -45 dBm, SNR 9 dB, good/bad packets: 14862/1149
Hello, node 1, message 6413, msg time 1598875374, tx time 403 ms, battery 355 v, temp 2490 C, humidity 2725 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14863/1149
Hello, node 2, message 12, msg time 1599303786, tx time 403 ms, battery 351 v, temp 2442 C, humidity 2792 %, status 0x00, RSSI -41 dBm, SNR 9 dB, good/bad packets: 14864/1149
Hello, node 1, message 6414, msg time 1598875395, tx time 404 ms, battery 355 v, temp 2492 C, humidity 2723 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14865/1149
Hello, node 2, message 13, msg time 1599303807, tx time 403 ms, battery 60 v, temp 2444 C, humidity 2792 %, status 0x00, RSSI -38 dBm, SNR 10 dB, good/bad packets: 14866/1149
Hello, node 1, message 6415, msg time 1598875416, tx time 403 ms, battery 355 v, temp 2492 C, humidity 2727 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14867/1149
Hello, node 2, message 14, msg time 1599303828, tx time 403 ms, battery 206 v, temp 2443 C, humidity 2789 %, status 0x00, RSSI -38 dBm, SNR 9 dB, good/bad packets: 14868/1149
Hello, node 1, message 6416, msg time 1598875437, tx time 404 ms, battery 355 v, temp 2494 C, humidity 2726 %, status 0x00, RSSI -64 dBm, SNR 8 dB, good/bad packets: 14869/1149
Hello, node 2, message 15, msg time 1599303849, tx time 403 ms, battery 302 v, temp 2442 C, humidity 2786 %, status 0x00, RSSI -38 dBm, SNR 9 dB, good/bad packets: 14870/1149
Hello, node 1, message 6417, msg time 1598875458, tx time 403 ms, battery 355 v, temp 2496 C, humidity 2722 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14871/1149
Hello, node 2, message 16, msg time 1599303870, tx time 403 ms, battery 71 v, temp 2442 C, humidity 2796 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14872/1149
