17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:41:25.087 -> Hello, node 2, message 127, tx time 401 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 263/3
17:41:31.147 -> Hello, node 2, message 128, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 8 dB, good/bad packets: 265/3
17:41:37.240 -> Hello, node 2, message 129, tx time 403 ms, battery 341, RSSI -109 dBm, SNR 8 dB, good/bad packets: 267/3
17:41:43.326 -> Hello, node 2, message 130, tx time 401 ms, battery 341, RSSI -109 dBm, SNR 6 dB, good/bad packets: 269/3
17:41:49.376 -> Hello, node 2, message 131, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 271/3
17:41:55.464 -> Hello, node 2, message 132, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 273/3
17:42:01.545 -> Hello, node 2, message 133, tx time 402 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 275/3
17:42:07.628 -> Hello, node 2, message 134, tx time 401 ms, battery 341, RSSI -122 dBm, SNR -2 dB, good/bad packets: 277/3
17:42:19.777 -> Hello, node 2, message 136, tx time 401 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 280/3
17:42:25.863 -> Hello, node 2, message 137, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 282/3
17:42:31.934 -> Hello, node 2, message 138, tx time 404 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 284/3
17:42:38.008 -> Hello, node 2, message 139, tx time 402 ms, battery 341, RSSI -113 dBm, SNR 5 dB, good/bad packets: 286/3
17:42:44.105 -> Hello, node 2, message 140, tx time 403 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 288/3
17:42:50.154 -> Hello, node 2, message 141, tx time 401 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 290/3
17:42:56.233 -> Hello, node 2, message 142, tx time 403 ms, battery 341, RSSI -112 dBm, SNR 5 dB, good/bad packets: 292/3
17:43:02.350 -> Hello, node 2, message 143, tx time 401 ms, battery 341, RSSI -115 dBm, SNR 3 dB, good/bad packets: 294/3
17:43:08.423 -> Hello, node 2, message 144, tx time 402 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 296/3
17:43:14.472 -> Hello, node 2, message 145, tx time 402 ms, battery 341, RSSI -112 dBm, SNR 5 dB, good/bad packets: 298/3
17:43:20.577 -> Hello, node 2, message 146, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 300/3
17:43:26.648 -> Hello, node 2, message 147, tx time 403 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 302/3
17:43:32.706 -> Hello, node 2, message 148, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 304/3
17:43:38.804 -> Hello, node 2, message 149, tx time 401 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 306/3
17:43:44.870 -> Hello, node 2, message 150, tx time 404 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 308/3
17:43:50.978 -> Hello, node 2, message 151, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 310/3
17:43:57.022 -> Hello, node 2, message 152, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 312/3
17:44:03.111 -> Hello, node 2, message 153, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 314/3
17:44:09.175 -> Hello, node 2, message 154, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 316/3
17:44:15.283 -> Hello, node 2, message 155, tx time 401 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 318/3
17:44:21.367 -> Hello, node 2, message 156, tx time 402 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 320/3
17:44:27.450 -> Hello, node 2, message 157, tx time 404 ms, battery 341, RSSI -116 dBm, SNR 2 dB, good/bad packets: 322/3
17:44:33.499 -> Hello, node 2, message 158, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 324/3
17:44:39.582 -> Hello, node 2, message 159, tx time 401 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 326/3
17:44:45.665 -> Hello, node 2, message 160, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 328/3
17:44:51.744 -> Hello, node 2, message 161, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 330/3
17:44:57.833 -> Hello, node 2, message 162, tx time 404 ms, battery 341, RSSI -123 dBm, SNR -3 dB, good/bad packets: 332/3
